"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.562242900E-2	0.000000000E0	0.000000000E0	0.000000000E0	0.000000000E0
3.062336600E-2	2.135756612E-2	-4.823923111E-3	-2.395534515E-2	3.245418965E-2
3.562607500E-2	9.461771697E-4	1.256802678E-2	-8.303928375E-2	8.399031608E-2
4.063133500E-2	1.426371094E-2	-5.274772644E-3	-1.188278198E-3	1.525413653E-2
4.563977300E-2	2.616432495E-3	3.010630608E-3	-6.609725952E-2	6.621750019E-2
5.065190800E-2	4.734684713E-3	-1.000967622E-2	-1.115131378E-2	1.571504554E-2
5.566805400E-2	6.500212941E-3	3.137290478E-3	-2.597045898E-2	2.695477879E-2
6.068831400E-2	9.709848464E-2	3.594553471E-2	1.082134247E-2	1.041023469E-1
6.571268900E-2	7.024216652E-2	1.944854856E-2	-1.138896942E-1	1.352149047E-1
7.074196000E-2	-4.776832461E-2	-2.097904682E-2	9.583377838E-2	1.091148309E-1
7.577472100E-2	5.231864750E-3	-1.419246197E-3	-6.532382965E-2	6.554837442E-2
8.081045000E-2	-2.548484504E-2	-9.997993708E-3	3.673458099E-2	4.581338937E-2
8.584857500E-2	7.602078374E-3	4.076182842E-3	-5.896377563E-2	5.959138947E-2
9.088841900E-2	-1.526155509E-2	-9.622097015E-3	2.977561951E-2	3.481504462E-2
9.592925200E-2	-5.675623193E-3	-2.481043339E-4	-1.244735718E-2	1.368250544E-2
1.009703460E-1	-1.053863764E-2	-4.941225052E-4	-7.170677185E-3	1.275639650E-2
1.060012310E-1	2.630722243E-3	3.681898117E-3	6.788253784E-3	8.158275719E-3
1.110248770E-1	2.875370905E-2	1.216402650E-2	-2.629280090E-3	3.133133317E-2
1.160485230E-1	6.377594173E-2	2.517887950E-2	-6.149578094E-2	9.210362528E-2
